99cte:-0.818854,etheta:0.268814,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-2.78762
100cte:-0.808649,etheta:0.282767,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.41493
101cte:-0.799467,etheta:0.297049,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.74998
102cte:-0.794687,etheta:0.304348,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-4.01317
103cte:-0.783709,etheta:0.331512,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-4.13453
104cte:-0.796694,etheta:0.370343,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-4.44896
105cte:-0.814756,etheta:0.424234,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-4.45001
106cte:-0.815419,etheta:0.434318,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.74706
107cte:-0.840284,etheta:0.462544,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.72522
108cte:-0.847038,etheta:0.464176,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.55593
109cte:-0.877753,etheta:0.479499,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.43725
110cte:-0.908275,etheta:0.508246,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-3.12702
111cte:-0.916742,etheta:0.498951,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-2.65842
112cte:-0.941036,etheta:0.53669,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-2.20677
113cte:-0.935935,etheta:0.537623,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-2.17665
114cte:-0.928716,etheta:0.559155,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-1.88893
115cte:-0.903704,etheta:0.604411,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-1.37705
116cte:-0.907691,etheta:0.72403,cmd_vel.linear.x:0.72,cmd_vel.angular.z:-0.655718
117cte:-0.91233,etheta:0.955761,cmd_vel.linear.x:0.72,cmd_vel.angular.z:-0.155899
118cte:-0.924699,etheta:1.00796,cmd_vel.linear.x:0.72,cmd_vel.angular.z:0.500245
119cte:-0.958493,etheta:1.06188,cmd_vel.linear.x:0.72,cmd_vel.angular.z:0.782954
120cte:-1.00934,etheta:1.07137,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.17998
121cte:-1.1174,etheta:1.04836,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.55852
122cte:-1.15484,etheta:1.0561,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.5498
123cte:-1.12145,etheta:1.03852,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.63166
124cte:-1.15324,etheta:1.04504,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.82216
125cte:-1.12201,etheta:1.04011,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.73063
126cte:-1.16173,etheta:1.0544,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.81115
127cte:-1.16595,etheta:1.08072,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.13913
128cte:-1.08501,etheta:1.08729,cmd_vel.linear.x:0.72,cmd_vel.angular.z:0.746597
129cte:-1.05982,etheta:1.08278,cmd_vel.linear.x:0.72,cmd_vel.angular.z:0.621357
130cte:-0.888285,etheta:0.999181,cmd_vel.linear.x:0.72,cmd_vel.angular.z:0.260599
131cte:-0.8765,etheta:0.933466,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.105762
132cte:-0.928664,etheta:0.882122,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.431177
133cte:-0.913992,etheta:0.851442,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.94489
134cte:-0.893803,etheta:0.823196,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.07323
135cte:-0.880767,etheta:0.810006,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.25155
136cte:-0.911081,etheta:0.832062,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.34781
137cte:-0.897459,etheta:0.827454,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.00094
138cte:-0.940946,etheta:0.866523,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.07777
139cte:-0.959267,etheta:0.893178,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.33134
140cte:-0.944151,etheta:0.891282,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.65477
141cte:-0.798951,etheta:0.754073,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.72749
142cte:-0.795028,etheta:0.772895,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.04419
143cte:-0.825876,etheta:0.809458,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.04786
144cte:-0.886948,etheta:0.861641,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.06834
145cte:-0.940125,etheta:0.921797,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.06685
146cte:-1.02486,etheta:0.966597,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.86012
147cte:-1.07783,etheta:0.979022,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.47484
148cte:-1.18881,etheta:0.972468,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.32477
149cte:-1.26953,etheta:0.929406,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.13467
150cte:-1.26953,etheta:0.929406,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.04145
151cte:-1.30736,etheta:0.83894,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.04145
152cte:-1.29139,etheta:0.648962,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.597153
153cte:-1.27142,etheta:0.718339,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.0574591
154cte:-1.24714,etheta:0.906702,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.169903
155cte:-1.33961,etheta:0.694123,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.395751
156cte:-1.3182,etheta:-0.0425679,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.940168
157cte:-0.82526,etheta:-1.4097,cmd_vel.linear.x:0.7,cmd_vel.angular.z:1.25707
158cte:-0.663921,etheta:-1.42966,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.44066
159cte:-0.599333,etheta:-1.44647,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.57554
160cte:-0.675713,etheta:-1.43789,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.65346
161cte:-0.729654,etheta:-1.44613,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.74064
162cte:-0.953062,etheta:-1.42881,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.55212
163cte:-1.19894,etheta:-1.38956,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.56398
164cte:-1.08164,etheta:-1.39631,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.43996
165cte:-1.31982,etheta:-1.26457,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.29682
166cte:-1.45295,etheta:0.0385945,cmd_vel.linear.x:0.56,cmd_vel.angular.z:1.25354
167cte:-1.37889,etheta:0.82036,cmd_vel.linear.x:0.7,cmd_vel.angular.z:0.999952
168cte:-1.28392,etheta:0.895798,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.689291
169cte:-1.25976,etheta:0.79204,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.290601
170cte:-1.2451,etheta:0.727576,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.133045
171cte:-1.23711,etheta:0.977362,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.258638
172cte:-1.20646,etheta:0.961195,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.762657
173cte:-1.15946,etheta:1.00889,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.869835
174cte:-1.1107,etheta:1.00839,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.733769
175cte:-1.07395,etheta:1.09439,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.815833
176cte:-1.04462,etheta:1.09787,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.20449
177cte:-1.04462,etheta:1.09787,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.53671
178cte:-1.04461,etheta:1.09143,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.53671
179cte:-1.01469,etheta:1.07661,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.71453
180cte:-1.03143,etheta:1.05814,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.78706
181cte:-1.05661,etheta:1.04004,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.02671
182cte:-1.05263,etheta:1.03503,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.26228
183cte:-1.0886,etheta:1.03744,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.28474
184cte:-1.10473,etheta:1.03474,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.25468
185cte:-1.19165,etheta:1.01437,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.23212
186cte:-1.24618,etheta:1.00733,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-2.2096
187cte:-1.27201,etheta:0.970724,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.91865
188cte:-1.29342,etheta:0.920889,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.79945
189cte:-1.29342,etheta:0.920889,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.71683
190cte:-1.29817,etheta:0.965703,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.71683
191cte:-1.31926,etheta:1.1283,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.57149
192cte:-1.34462,etheta:0.991939,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.46983
193cte:-1.25268,etheta:0.147669,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.26541
194cte:-0.901979,etheta:-1.22253,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-1.47251
195cte:-0.431896,etheta:-1.30628,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.919184
196cte:-0.30094,etheta:-1.25308,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.777551
197cte:-0.179348,etheta:-1.22973,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.592523
198cte:-0.0815895,etheta:-1.21181,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.732227
199cte:-0.0544922,etheta:-1.09612,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.813124
200cte:-0.0162716,etheta:-0.924623,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.698378
201cte:-0.00143131,etheta:-0.777187,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.797566
202cte:0.0176695,etheta:-0.835745,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.756007
203cte:0.0408865,etheta:-0.908729,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.963355
204cte:0.0408865,etheta:-0.908729,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.26869
205cte:0.0560949,etheta:-0.871309,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.21525
206cte:0.0496601,etheta:-0.593209,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.33502
207cte:0.063729,etheta:-0.61655,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-1.63338
208cte:0.0868114,etheta:-0.649569,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.51447
209cte:0.0758139,etheta:0.423492,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.67584
210cte:0.0747549,etheta:0.61612,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-1.98891
211cte:0.0999323,etheta:0.771783,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.62234
212cte:0.0618908,etheta:0.698483,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.57203
213cte:0.0708816,etheta:0.579739,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.65489
214cte:0.0484226,etheta:0.379456,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-2.02471
215cte:0.0443093,etheta:-0.0259439,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-1.90878
216cte:0.0421852,etheta:-0.733724,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-1.82923
217cte:0.054632,etheta:-0.728761,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.34549
218cte:0.0751435,etheta:-0.959359,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.38951
219cte:0.0665213,etheta:-1.10654,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.30678
220cte:0.0756399,etheta:-1.19131,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.19867
221cte:0.0656185,etheta:-1.18603,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.04546
222cte:0.0685895,etheta:-1.1809,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.949597
223cte:0.0396858,etheta:-1.08377,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.788717
224cte:0.0079369,etheta:-0.948986,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.476024
225cte:-0.00587931,etheta:-0.726136,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.307241
226cte:-0.0282029,etheta:-0.371854,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.214802
227cte:-0.0309742,etheta:-0.0828373,cmd_vel.linear.x:0.7,cmd_vel.angular.z:-0.0825728
228cte:-0.031184,etheta:0.284332,cmd_vel.linear.x:0.7,cmd_vel.angular.z:0.0865113
229cte:-0.0360957,etheta:0.508718,cmd_vel.linear.x:0.7,cmd_vel.angular.z:0.249892
230cte:-0.0518465,etheta:0.758792,cmd_vel.linear.x:0.7,cmd_vel.angular.z:0.319246
231cte:-0.0319897,etheta:0.849483,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.312617
232cte:-0.0519581,etheta:0.901722,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.396704
233cte:-0.0190967,etheta:0.937823,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.315927
234cte:-0.067066,etheta:1.04038,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.383278
235cte:-0.101697,etheta:1.08486,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.262497
236cte:-0.0784536,etheta:1.0783,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.120363
237cte:-0.0464826,etheta:1.08089,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.123731
238cte:-0.0155953,etheta:1.05709,cmd_vel.linear.x:0.56,cmd_vel.angular.z:0.0112705
239cte:-0.0479818,etheta:1.09404,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.0161057
240cte:-0.0189009,etheta:1.06857,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.165639
241cte:-0.0585425,etheta:1.10707,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.20124
242cte:-0.0875949,etheta:1.13557,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.386435
243cte:-0.0488281,etheta:1.10055,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.606171
244cte:-0.0546118,etheta:1.10011,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.684161
245cte:-0.0546118,etheta:1.10011,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.705921
246cte:-0.0648895,etheta:1.12641,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.705921
247cte:-0.113692,etheta:1.14061,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-0.997731
248cte:-0.0808966,etheta:1.12376,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.25358
249cte:-0.0730408,etheta:1.11724,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.31047
250cte:-0.113673,etheta:1.13488,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.46104
251cte:-0.039801,etheta:1.13982,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.60109
252cte:-0.0671904,etheta:1.17961,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.697
253cte:-0.0280192,etheta:1.19906,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.83053
254cte:-0.0289911,etheta:1.23373,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.83546
255cte:0.0247977,etheta:1.24612,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.88229
256cte:-0.00630422,etheta:1.28499,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.87479
257cte:-0.0135317,etheta:1.31426,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.85203
258cte:-0.0135317,etheta:1.31426,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.82787
259cte:-0.0444327,etheta:1.33291,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.85007
260cte:0.0480179,etheta:1.32671,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.83495
261cte:0.0944445,etheta:1.32284,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.71864
262cte:0.197491,etheta:1.30229,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.60409
263cte:0.328698,etheta:1.25678,cmd_vel.linear.x:0.56,cmd_vel.angular.z:-1.47231
